Topic,Owner,Status,Resolution Date
Facial Tissue Mexico - Volume Conversion,Anchal Panchal,In Production,8th July
US Market Changes,Anchal & Arpan,MSD Raised,
"Central America,South Korea - WDIST issue",Arpan,Tech ticket raised - INC0454134,
DPN HK Diff Analysis,Arpan,Need to do the Analysis,8th July
DPN FR - New Segment Added,Anchal,Connect Production WIP,8th July
DPN VN/IT - Size Coding needs to be removed,Anchal,YTS,10th July
DPN UA -In Correct Segment under Size Map Char,Anchal,YTS,10th July
BWP Peru - Data Difference,Arpan,Reason Provided to Petra. She is checking with Local Team for Peru Markets,
BWP BRAZIL - Market Correction Needed,Anchal & Arpan,YTS,11th July
HHT KR ECOM Demerge,Arpan,Tech ticket raised - INC0449916,
TH EQ2 conversion needs to be removed,Arpan,Production in progress,8th July
